label,caption,left_url,right_url,unique_id,id,image_1_path,image_2_path
False,"In one film people wear masks and cook Pongal, in another film non-masked people cook Pongal.",26-6.jpg,26-3.jpg,0,0,/data/tir/projects/tir4/corpora/marvl/ta/images/26-தைப்பொங்கல்/26-6.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/26-தைப்பொங்கல்/26-3.jpg
True,"In one film people wear masks and cook Pongal, in another film non-masked people cook Pongal.",26-13.jpg,26-8.jpg,0,1,/data/tir/projects/tir4/corpora/marvl/ta/images/26-தைப்பொங்கல்/26-13.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/26-தைப்பொங்கல்/26-8.jpg
True,"In one film people wear masks and cook Pongal, in another film non-masked people cook Pongal.",26-2.jpg,26-5.jpg,0,2,/data/tir/projects/tir4/corpora/marvl/ta/images/26-தைப்பொங்கல்/26-2.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/26-தைப்பொங்கல்/26-5.jpg
False,"In one film people wear masks and cook Pongal, in another film non-masked people cook Pongal.",26-1.jpg,26-10.jpg,0,3,/data/tir/projects/tir4/corpora/marvl/ta/images/26-தைப்பொங்கல்/26-1.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/26-தைப்பொங்கல்/26-10.jpg
True,In one picture the tractor is on farmland and in another it is on straw.,40-1.jpg,40-12.jpg,1,4,/data/tir/projects/tir4/corpora/marvl/ta/images/40-உழவு_இயந்திரம்/40-1.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/40-உழவு_இயந்திரம்/40-12.jpg
False,In one picture the tractor is on farmland and in another it is on straw.,40-4.jpg,40-3.jpg,1,5,/data/tir/projects/tir4/corpora/marvl/ta/images/40-உழவு_இயந்திரம்/40-4.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/40-உழவு_இயந்திரம்/40-3.jpg
True,In one picture the tractor is on farmland and in another it is on straw.,40-11.jpg,40-6.jpg,1,7,/data/tir/projects/tir4/corpora/marvl/ta/images/40-உழவு_இயந்திரம்/40-11.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/40-உழவு_இயந்திரம்/40-6.jpg
True,"One picture has exactly one Ganesha statue, another picture has several Ganesha statues.",28-6.jpg,28-10.jpg,2,8,/data/tir/projects/tir4/corpora/marvl/ta/images/28-விநாயக_சதுர்த்தி/28-6.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/28-விநாயக_சதுர்த்தி/28-10.jpg
False,"One picture has exactly one Ganesha statue, another picture has several Ganesha statues.",28-3.jpg,28-5.jpg,2,9,/data/tir/projects/tir4/corpora/marvl/ta/images/28-விநாயக_சதுர்த்தி/28-3.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/28-விநாயக_சதுர்த்தி/28-5.jpg
True,"One picture has exactly one Ganesha statue, another picture has several Ganesha statues.",28-11.jpg,28-1.jpg,2,10,/data/tir/projects/tir4/corpora/marvl/ta/images/28-விநாயக_சதுர்த்தி/28-11.jpg,/data/tir/projects/tir4/corpora/marvl/ta/images/28-விநாயக_சதுர்த்தி/28-1.jpg
