label,caption,left_url,right_url,unique_id,id,image_1_path,image_2_path
False,"In the picture on the left, a man is playing the violin, in the picture on the right, a woman is holding the violin.",42-9.jpg,42-5.jpg,0,0,/data/tir/projects/tir4/corpora/marvl/tr/images/42-Keman/42-9.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/42-Keman/42-5.jpg
True,"In the picture on the left, a man is playing the violin, in the picture on the right, a woman is holding the violin.",42-10.jpg,42-0.jpg,0,1,/data/tir/projects/tir4/corpora/marvl/tr/images/42-Keman/42-10.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/42-Keman/42-0.jpg
True,"In the picture on the left, a man is playing the violin, in the picture on the right, a woman is holding the violin.",42-7.jpg,42-6.jpg,0,2,/data/tir/projects/tir4/corpora/marvl/tr/images/42-Keman/42-7.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/42-Keman/42-6.jpg
False,"In the picture on the left, a man is playing the violin, in the picture on the right, a woman is holding the violin.",42-3.jpg,42-4.jpg,0,3,/data/tir/projects/tir4/corpora/marvl/tr/images/42-Keman/42-3.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/42-Keman/42-4.jpg
True,Both images contain salad with greens.,48-5.jpg,48-10.jpg,1,4,/data/tir/projects/tir4/corpora/marvl/tr/images/48-Lahmacun/48-5.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/48-Lahmacun/48-10.jpg
False,Both images contain salad with greens.,48-4.jpg,48-6.jpg,1,6,/data/tir/projects/tir4/corpora/marvl/tr/images/48-Lahmacun/48-4.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/48-Lahmacun/48-6.jpg
True,Both images contain salad with greens.,48-0.jpg,48-7.jpg,1,7,/data/tir/projects/tir4/corpora/marvl/tr/images/48-Lahmacun/48-0.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/48-Lahmacun/48-7.jpg
False,In the picture on the right is a tree with green leaves and apples.,58-3.jpg,58-11.jpg,2,8,/data/tir/projects/tir4/corpora/marvl/tr/images/58-Elma/58-3.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/58-Elma/58-11.jpg
True,In the picture on the right is a tree with green leaves and apples.,58-2.jpg,58-7.jpg,2,9,/data/tir/projects/tir4/corpora/marvl/tr/images/58-Elma/58-2.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/58-Elma/58-7.jpg
True,In the picture on the right is a tree with green leaves and apples.,58-1.jpg,58-5.jpg,2,10,/data/tir/projects/tir4/corpora/marvl/tr/images/58-Elma/58-1.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/58-Elma/58-5.jpg
False,In the picture on the right is a tree with green leaves and apples.,58-4.jpg,58-0.jpg,2,11,/data/tir/projects/tir4/corpora/marvl/tr/images/58-Elma/58-4.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/58-Elma/58-0.jpg
True,Pictured on the right is a single female tennis player holding a racket.,24-7.jpg,24-9.jpg,3,12,/data/tir/projects/tir4/corpora/marvl/tr/images/24-Tenis/24-7.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/24-Tenis/24-9.jpg
False,Pictured on the right is a single female tennis player holding a racket.,24-6.jpg,24-8.jpg,3,13,/data/tir/projects/tir4/corpora/marvl/tr/images/24-Tenis/24-6.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/24-Tenis/24-8.jpg
True,Pictured on the right is a single female tennis player holding a racket.,24-4.jpg,24-0.jpg,3,14,/data/tir/projects/tir4/corpora/marvl/tr/images/24-Tenis/24-4.jpg,/data/tir/projects/tir4/corpora/marvl/tr/images/24-Tenis/24-0.jpg
